epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,tf_op_layer_determinant_loss,tf_op_layer_mul_1_loss,tf_op_layer_mul_2_loss,tf_op_layer_mul_3_loss,tf_op_layer_mul_4_loss,tf_op_layer_mul_5_loss,tf_op_layer_mul_6_loss,tf_op_layer_mul_7_loss,tf_op_layer_mul_8_loss,tf_op_layer_mul_loss,tf_op_layer_rot_identity_loss,tf_op_layer_rot_row_product_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_tf_op_layer_determinant_loss,val_tf_op_layer_mul_1_loss,val_tf_op_layer_mul_2_loss,val_tf_op_layer_mul_3_loss,val_tf_op_layer_mul_4_loss,val_tf_op_layer_mul_5_loss,val_tf_op_layer_mul_6_loss,val_tf_op_layer_mul_7_loss,val_tf_op_layer_mul_8_loss,val_tf_op_layer_mul_loss,val_tf_op_layer_rot_identity_loss,val_tf_op_layer_rot_row_product_loss,val_u0_loss,val_v0_loss,val_x_loss,val_y_loss,val_z_loss,x_loss,y_loss,z_loss
0,0.7122067213058472,4.032120227813721,12.75803279876709,12.499741554260254,431.1969523550687,1.2050864696502686,1.2243680735934959e-08,39.326759338378906,30.472583770751953,95.29827880859375,6.646626949310303,37.895904541015625,37.90631103515625,80.2920913696289,34.6707878112793,30.84075927734375,0.8888927102088928,0.0,2.5168304443359375,2.3997061252593994,0.1667018085718155,4.83013391494751,7.157035827636719,7.561922550201416,431.4861227807259,0.06229977682232857,9.659546940099517e-09,44.16733169555664,33.86845779418945,95.651611328125,6.62193489074707,37.886566162109375,37.90493392944336,80.47540283203125,34.98073196411133,34.1844596862793,0.022278238087892532,0.0,3.325665235519409,2.178388833999634,0.20257148146629333,0.13797585666179657,0.12530609965324402,0.3101712465286255,0.21135833859443665,0.27446964383125305
1,0.16612058877944946,3.2680208683013916,7.618612289428711,7.552183628082275,414.74509771986254,0.06520933657884598,1.0006365513959281e-08,39.25659942626953,30.461889266967773,95.30913543701172,6.556350231170654,37.89493942260742,37.90639114379883,80.29680633544922,34.679962158203125,30.837404251098633,0.025761358439922333,0.0,1.1618818044662476,1.2050923109054565,0.1511692851781845,3.0875244140625,5.7062859535217285,5.577178001403809,421.9499265146955,0.05305876210331917,1.0221148372124844e-08,44.14093780517578,33.816436767578125,95.6692886352539,6.619668483734131,37.887718200683594,37.90500259399414,80.46562957763672,35.00331497192383,34.134132385253906,0.023061830550432205,0.0,0.6106065511703491,0.5824187994003296,0.20032566785812378,0.1304844170808792,0.124988853931427,0.20430104434490204,0.13223762810230255,0.13187465071678162
2,0.15888480842113495,3.0411598682403564,6.385663032531738,6.443451404571533,411.4915541601738,0.047452542930841446,9.899316921746504e-09,39.252567291259766,30.458389282226562,95.30606842041016,6.55637264251709,37.8974494934082,37.9063606262207,80.29198455810547,34.675045013427734,30.83460235595703,0.018244372680783272,0.0,0.8397892117500305,0.8971267938613892,0.16336700320243835,2.973468065261841,6.251723289489746,6.837006568908691,426.35239427994384,0.041010987013578415,9.852986870839686e-09,44.15601348876953,33.827903747558594,95.6555404663086,6.62302303314209,37.889129638671875,37.904911041259766,80.48209381103516,34.9792366027832,34.1456184387207,0.01580258458852768,0.0,2.051292896270752,1.8524847030639648,0.19996683299541473,0.12518881261348724,0.1251431405544281,0.20040227472782135,0.12702670693397522,0.125118225812912
3,0.1512633115053177,2.8918004035949707,5.802353858947754,5.921288967132568,410.26071727989176,0.27492883801460266,9.554084634544324e-09,39.25456619262695,30.461074829101562,95.3034439086914,6.557604789733887,37.89435577392578,37.906368255615234,80.27679443359375,34.67667007446289,30.83694839477539,0.12222617864608765,0.0,0.6713544726371765,0.7567638754844666,0.14999963343143463,3.1341028213500977,4.18228816986084,4.202218055725098,418.793296254156,0.04606811702251434,9.765627417834821e-09,44.177303314208984,33.84310531616211,95.666748046875,6.623461723327637,37.89145278930664,37.904884338378906,80.48737335205078,34.9980354309082,34.1668815612793,0.013659121468663216,0.0,0.5440233945846558,0.3625703454017639,0.20001046359539032,0.12488087266683578,0.12500417232513428,0.2004736363887787,0.125377357006073,0.12521763145923615
4,0.14678087830543518,2.8102123737335205,5.53040885925293,5.673458099365234,409.1167601990678,0.04412302002310753,1.0043832432415911e-08,39.2530517578125,30.459632873535156,95.29627990722656,6.555224895477295,37.89713668823242,37.906429290771484,80.29138946533203,34.671424865722656,30.835695266723633,0.016486389562487602,0.0,0.5804367065429688,0.6519373059272766,0.1440531611442566,2.8701064586639404,5.309597015380859,5.927644729614258,422.63477931632434,0.04439673572778702,1.0146267825916766e-08,44.14664840698242,33.820518493652344,95.66766357421875,6.625210285186768,37.88810348510742,37.90483093261719,80.49861907958984,34.98262023925781,34.14035415649414,0.02394457347691059,0.0,1.1290172338485718,1.0232231616973877,0.20004209876060486,0.12569797039031982,0.1250716745853424,0.20049652457237244,0.1253589540719986,0.12515683472156525
5,0.14589186012744904,2.7516233921051025,5.1306939125061035,5.248841285705566,408.0755801301118,0.04178673028945923,9.974250758659764e-09,39.2543830871582,30.460399627685547,95.30677795410156,6.557796001434326,37.896827697753906,37.906341552734375,80.29019165039062,34.6729736328125,30.83656883239746,0.01702853851020336,0.0,0.4980012774467468,0.572167694568634,0.14282174408435822,2.858384370803833,4.984550952911377,4.9679646492004395,420.4914305616975,0.0357947051525116,1.0483229395674698e-08,44.14808654785156,33.8177604675293,95.65544128417969,6.621979713439941,37.88985824584961,37.904911041259766,80.45848083496094,34.97150802612305,34.13773727416992,0.017960472032427788,0.0,0.7081313729286194,0.611174464225769,0.2003026157617569,0.12477035075426102,0.12501494586467743,0.2004474699497223,0.12530985474586487,0.12517674267292023
6,0.14405640959739685,2.750318765640259,5.104665279388428,5.257692813873291,407.92927539479274,0.04023676738142967,1.0110738024593502e-08,39.26312255859375,30.462718963623047,95.30889892578125,6.558038234710693,37.895023345947266,37.906349182128906,80.277587890625,34.6734619140625,30.83997344970703,0.016619889065623283,0.0,0.4755447506904602,0.47145378589630127,0.14262136816978455,2.937542200088501,4.9315266609191895,4.995161056518555,420.42835606349087,0.03838563710451126,7.469300733475848e-09,44.13815689086914,33.81615447998047,95.66207122802734,6.6214447021484375,37.88405227661133,37.9049072265625,80.4784927368164,34.98348617553711,34.13282012939453,0.01964283175766468,0.0,0.6337175369262695,0.5655815005302429,0.19993668794631958,0.1248694583773613,0.12483197450637817,0.20046867430210114,0.12537601590156555,0.1251669079065323
7,0.14398138225078583,2.713970422744751,5.061567783355713,5.19614315032959,407.6395797852879,0.03856140375137329,1.0228490943120505e-08,39.25511169433594,30.461528778076172,95.3069076538086,6.555906295776367,37.896690368652344,37.90639877319336,80.28716278076172,34.679725646972656,30.83749008178711,0.017355984076857567,0.0,0.38091444969177246,0.41817957162857056,0.1426183432340622,2.907013416290283,6.733930587768555,6.780024528503418,423.3871323047694,0.04692317917943001,7.057459505688257e-09,44.241050720214844,33.93263626098633,95.65100860595703,6.621957302093506,37.8898811340332,37.904945373535156,80.4738998413086,34.995574951171875,34.24320602416992,0.012758548371493816,0.0,0.3091807961463928,0.29715827107429504,0.19998852908611298,0.12487532198429108,0.12488475441932678,0.20041126012802124,0.1254359483718872,0.12513203918933868
8,0.14395001530647278,2.747610092163086,4.8833465576171875,5.003942012786865,407.2851991336408,0.04107221961021423,1.0204405320735077e-08,39.255496978759766,30.460494995117188,95.31159210205078,6.5563578605651855,37.89439392089844,37.906394958496094,80.28473663330078,34.68022537231445,30.83617401123047,0.016728460788726807,0.0,0.3767070472240448,0.40626955032348633,0.1431465595960617,3.0529937744140625,4.329102993011475,4.270795822143555,418.9441880456057,0.03302763029932976,6.314897493808758e-09,44.13386154174805,33.81325149536133,95.64888000488281,6.624754905700684,37.88710021972656,37.904869079589844,80.46302795410156,34.97891616821289,34.130619049072266,0.02439435012638569,0.0,0.7508653998374939,0.1784803867340088,0.19998173415660858,0.12486058473587036,0.12506277859210968,0.2005043923854828,0.12535761296749115,0.12518130242824554
9,0.14397841691970825,2.739173173904419,4.786957263946533,4.901809215545654,406.99632610584956,0.04227685555815697,1.0348920831404484e-08,39.254825592041016,30.459877014160156,95.30308532714844,6.556089878082275,37.897804260253906,37.90639877319336,80.28938293457031,34.671905517578125,30.83627700805664,0.016357405111193657,0.0,0.33800190687179565,0.36299899220466614,0.1426285207271576,3.3789548873901367,9.880845069885254,9.932344436645508,430.03693375497494,0.03766900300979614,7.388180289780166e-09,44.13066101074219,33.81016159057617,95.65911865234375,6.619381904602051,37.88523483276367,37.90497970581055,80.50861358642578,34.98229217529297,34.1270637512207,0.016392618417739868,0.0,0.12660185992717743,0.37359434366226196,0.1999514400959015,0.12480399012565613,0.12486967444419861,0.2004546970129013,0.12538601458072662,0.12514734268188477
