epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_u0_loss,val_v0_loss,val_xWorld_loss,val_x_loss,val_yWorld_loss,val_y_loss,val_zWorld_loss,val_z_loss,xWorld_loss,x_loss,yWorld_loss,y_loss,zWorld_loss,z_loss
0,15.220819473266602,4.582779407501221,22.51206398010254,22.537111282348633,9339.172149192076,0.15086641907691956,3.2988052368164062,3.557224988937378,14.76623821258545,4.574426651000977,40.75400161743164,40.58670425415039,10594.10368411786,0.09504467248916626,1.8192870616912842,0.7808900475502014,4042.634521484375,21.239517211914062,3164.124755859375,12.920040130615234,3230.32373046875,12.684616088867188,3486.269287109375,20.42304229736328,2830.582275390625,13.019585609436035,2901.743408203125,12.791184425354004
1,14.661179542541504,4.502124786376953,14.242342948913574,14.276464462280273,9275.07036290747,0.0880354642868042,1.0627776384353638,1.1205565929412842,14.372825622558594,4.54893159866333,15.460113525390625,15.306878089904785,10449.626941864846,0.0870484933257103,2.8809711933135986,3.9486801624298096,3973.595947265625,20.394264221191406,3154.249267578125,12.577987670898438,3216.752197265625,12.542720794677734,3462.34814453125,20.1994686126709,2821.707763671875,12.690909385681152,2891.853515625,12.59949016571045
2,14.633792877197266,4.435177326202393,12.917771339416504,12.933236122131348,9263.46817722372,0.08669672161340714,0.8964144587516785,0.8407054543495178,45.382057189941406,4.546302795410156,50.082183837890625,50.65937042236328,11419.385627743382,0.10379775613546371,27.117055892944336,22.25432586669922,4270.48779296875,38.70153045654297,3388.511474609375,36.74411392211914,3457.099609375,23.48989486694336,3462.850830078125,20.1449031829834,2822.008056640625,12.656442642211914,2891.76416015625,12.578956604003906
3,14.556166648864746,4.412062168121338,12.770288467407227,12.773538589477539,9254.365218493795,0.08702728897333145,0.7565460205078125,0.6440573930740356,14.27863883972168,4.465270042419434,42.11956024169922,41.407310485839844,10615.984586076716,0.08780878782272339,3.5411648750305176,2.3787779808044434,4076.42724609375,20.015459060668945,3159.365478515625,12.593999862670898,3223.419921875,12.519298553466797,3455.69580078125,20.11168098449707,2817.091552734375,12.661026000976562,2886.6884765625,12.566344261169434
4,14.578354835510254,4.373752117156982,12.023172378540039,12.021718978881836,9246.135905956944,0.0870949849486351,0.8810431957244873,0.8240546584129333,72.00602722167969,7.139657497406006,107.01824188232422,108.98389434814453,12088.694905496593,0.09157754480838776,72.98931884765625,63.69255065917969,4452.47802734375,50.34392166137695,3487.8212890625,49.442142486572266,3572.05810546875,35.933223724365234,3452.392333984375,20.121551513671875,2814.87060546875,12.65969181060791,2884.42138671875,12.557995796203613
5,14.548980712890625,4.300375461578369,12.592756271362305,12.570520401000977,9236.992352015246,0.08707056194543839,0.6245391964912415,0.5377352833747864,72.14405822753906,11.847744941711426,31.09510040283203,35.887786865234375,12155.104061025944,0.1789659708738327,60.04045486450195,22.874839782714844,4506.6796875,54.66221237182617,3583.0947265625,53.672489166259766,3663.2021484375,47.8622932434082,3450.9033203125,20.106504440307617,2813.2900390625,12.635899543762207,2883.113525390625,12.553181648254395
6,14.536852836608887,4.2068047523498535,13.320201873779297,13.302517890930176,9215.646191274638,0.08703452348709106,0.5867258906364441,0.5699869394302368,23.175281524658203,4.806202411651611,19.570146560668945,20.382070541381836,10667.767184224318,0.1304723024368286,9.315949440002441,8.92811107635498,4032.8671875,24.411008834838867,3197.130126953125,17.498632431030273,3284.3251953125,15.9590482711792,3442.10693359375,20.105667114257812,2804.26806640625,12.632301330566406,2873.181396484375,12.548233032226562
7,14.550700187683105,4.127371311187744,11.777822494506836,11.767065048217773,9195.0991331582,0.08704491704702377,0.5553343892097473,0.5144874453544617,128.22207641601562,10.901013374328613,123.62326049804688,132.6949920654297,13666.566117990042,0.08788170665502548,101.4817886352539,98.6164779663086,4854.12060546875,80.50135803222656,3975.89453125,86.02057647705078,4005.29638671875,57.380096435546875,3435.20068359375,20.109472274780273,2799.47216796875,12.627625465393066,2867.965576171875,12.54216194152832
8,14.502888679504395,4.0410614013671875,11.513784408569336,11.497891426086426,9171.262911682952,0.08699202537536621,0.45578625798225403,0.41339734196662903,14.644323348999023,4.208651065826416,21.006786346435547,20.793243408203125,10394.385775558503,0.09642279148101807,0.6057705283164978,0.6679639220237732,3952.454833984375,20.3836612701416,3135.37646484375,12.58370590209961,3196.474365234375,12.569281578063965,3427.247802734375,20.09792709350586,2792.782470703125,12.59616470336914,2861.133544921875,12.539556503295898
9,14.503289222717285,3.9846622943878174,10.989508628845215,10.953131675720215,9155.287769805003,0.08701717108488083,0.5674045085906982,0.5263893008232117,14.323911666870117,3.9196016788482666,17.37049102783203,16.912019729614258,10332.65351234932,0.08770015835762024,0.6586858630180359,1.5453516244888306,3925.940185546875,20.085039138793945,3119.968994140625,12.519330024719238,3178.602294921875,12.519022941589355,3423.332275390625,20.081195831298828,2787.74658203125,12.59880542755127,2854.48291015625,12.53110408782959
