epoch,baseline_loss,disparity_loss,fx_loss,fy_loss,loss,pitch_loss,tf_op_layer_mul_1_loss,tf_op_layer_mul_2_loss,tf_op_layer_mul_3_loss,tf_op_layer_mul_4_loss,tf_op_layer_mul_5_loss,tf_op_layer_mul_6_loss,tf_op_layer_mul_7_loss,tf_op_layer_mul_8_loss,tf_op_layer_mul_loss,u0_loss,v0_loss,val_baseline_loss,val_disparity_loss,val_fx_loss,val_fy_loss,val_loss,val_pitch_loss,val_tf_op_layer_mul_1_loss,val_tf_op_layer_mul_2_loss,val_tf_op_layer_mul_3_loss,val_tf_op_layer_mul_4_loss,val_tf_op_layer_mul_5_loss,val_tf_op_layer_mul_6_loss,val_tf_op_layer_mul_7_loss,val_tf_op_layer_mul_8_loss,val_tf_op_layer_mul_loss,val_u0_loss,val_v0_loss,val_x_loss,val_y_loss,val_z_loss,x_loss,y_loss,z_loss
0,0.4507933557033539,3.888293504714966,11.534171104431152,11.460583686828613,426.96235751334547,0.2749258577823639,39.25970458984375,30.461938858032227,95.31673431396484,6.564393520355225,37.898094177246094,37.90629959106445,80.30168151855469,34.691673278808594,30.837627410888672,2.5172855854034424,2.6190268993377686,0.15091146528720856,3.4674625396728516,6.939035415649414,6.911862373352051,427.43052119928836,0.05987679213285446,44.12364196777344,33.80437469482422,95.65605926513672,6.6233439445495605,37.88465881347656,37.904884338378906,80.44963073730469,34.97496795654297,34.121829986572266,2.2041265964508057,1.4353771209716797,0.20729081332683563,0.1286587119102478,0.21525788307189941,0.2717081606388092,0.3279077112674713,0.37247076630592346
1,0.15692755579948425,3.1701533794403076,6.858094692230225,6.901319980621338,413.1082690407752,0.05025658756494522,39.256649017333984,30.461872100830078,95.30402374267578,6.55638313293457,37.89699935913086,37.906368255615234,80.29698181152344,34.674808502197266,30.838232040405273,1.084243893623352,1.1875423192977905,0.1474200189113617,3.1567747592926025,5.181366920471191,5.020535945892334,421.1954826434953,0.03365880250930786,44.19334030151367,33.84404373168945,95.65682220458984,6.622646331787109,37.88787841796875,37.90489196777344,80.45510864257812,34.988426208496094,34.17106628417969,0.5727748870849609,0.8985095024108887,0.19998151063919067,0.1277884840965271,0.14057111740112305,0.20255687832832336,0.133402019739151,0.14035896956920624
2,0.1526043862104416,2.9507641792297363,5.997583866119385,6.039185047149658,410.6126295228531,0.04241563752293587,39.27205276489258,30.470264434814453,95.30807495117188,6.556320667266846,37.89667892456055,37.906368255615234,80.2910385131836,34.67223358154297,30.847705841064453,0.8535934686660767,0.8929436206817627,0.15076082944869995,2.880825996398926,10.112802505493164,10.092229843139648,431.622056506015,0.03682156279683113,44.13359832763672,33.812904357910156,95.65264129638672,6.622259616851807,37.88784408569336,37.904911041259766,80.4866714477539,34.987815856933594,34.13066101074219,1.4032050371170044,0.7491961121559143,0.20028871297836304,0.12616169452667236,0.14682705700397491,0.20041024684906006,0.1289684772491455,0.13725391030311584
3,0.14769347012043,2.8491764068603516,5.543240070343018,5.576007843017578,409.3944145812714,0.0394585095345974,39.255523681640625,30.460777282714844,95.30953979492188,6.5560479164123535,37.8956184387207,37.90636444091797,80.29203796386719,34.67688751220703,30.83637237548828,0.7566419839859009,0.8089180588722229,0.14286477863788605,3.0288619995117188,6.39050817489624,6.426264762878418,424.85925632052954,0.0863804742693901,44.18443298339844,33.86170196533203,95.67446899414062,6.6235175132751465,37.88934326171875,37.90488815307617,80.49446868896484,34.9879150390625,34.175472259521484,0.911682665348053,1.7052050828933716,0.20030325651168823,0.12486068904399872,0.12560969591140747,0.2004156857728958,0.12619701027870178,0.13017061352729797
4,0.14468076825141907,2.82916522026062,5.495121955871582,5.4557671546936035,409.0160325152319,0.03709772974252701,39.253623962402344,30.460365295410156,95.30425262451172,6.557703495025635,37.89578628540039,37.90631866455078,80.27897644042969,34.67690658569336,30.836158752441406,0.6801705360412598,0.7048259377479553,0.14272183179855347,2.895836591720581,6.351897239685059,6.445140838623047,422.91798744441576,0.03132985904812813,44.13482666015625,33.8173713684082,95.65019226074219,6.623213291168213,37.88649368286133,37.90491485595703,80.47532653808594,34.96702575683594,34.134403228759766,0.4023267924785614,0.4760298430919647,0.200020894408226,0.12508521974086761,0.12494815140962601,0.20045550167560577,0.12527045607566833,0.12666131556034088
5,0.14410755038261414,2.7964138984680176,5.292703151702881,5.301421165466309,408.4280315498564,0.03200208395719528,39.255653381347656,30.461894989013672,95.30584716796875,6.5571465492248535,37.8963508605957,37.9063606262207,80.28327178955078,34.676578521728516,30.83774185180664,0.5758159756660461,0.6167314052581787,0.14257149398326874,3.1832456588745117,9.394338607788086,9.162494659423828,429.8365381140879,0.029075395315885544,44.15340805053711,33.82820129394531,95.66487884521484,6.623663425445557,37.8856315612793,37.904842376708984,80.50305938720703,34.985843658447266,34.1422119140625,0.6926408410072327,1.0647950172424316,0.20051224529743195,0.12494365125894547,0.12491422146558762,0.20050805807113647,0.12534452974796295,0.12591782212257385
6,0.1440056413412094,2.776127576828003,5.295799255371094,5.315740585327148,408.36598319904505,0.029271626845002174,39.264347076416016,30.464599609375,95.30992889404297,6.557459354400635,37.898555755615234,37.9063835144043,80.28219604492188,34.67937469482422,30.840625762939453,0.5391976237297058,0.5987607836723328,0.14279569685459137,3.0595953464508057,16.756187438964844,16.87413787841797,444.2205222971534,0.036939676851034164,45.19148635864258,34.978797912597656,95.65052795410156,6.618854999542236,37.88728713989258,37.90501022338867,80.50205993652344,34.98482131958008,35.32057571411133,0.51927250623703,0.6539154052734375,0.2001449018716812,0.1248079240322113,0.12488006055355072,0.2004723846912384,0.12541218101978302,0.12508904933929443
7,0.1440366506576538,2.8159613609313965,5.234070777893066,5.238152503967285,408.0116514193937,0.028355930000543594,39.25962829589844,30.46211051940918,95.31967163085938,6.556674957275391,37.896202087402344,37.90641403198242,80.28268432617188,34.67821502685547,30.838520050048828,0.42092931270599365,0.48040223121643066,0.32383450865745544,5.146241188049316,35.40641784667969,32.758853912353516,543.0322530238633,0.9760642051696777,44.1777229309082,33.83545684814453,95.6644058227539,6.620411396026611,37.886375427246094,37.904930114746094,80.47738647460938,34.982452392578125,34.15520095825195,29.619735717773438,32.08517074584961,0.353950560092926,0.5031318068504333,0.20969851315021515,0.2005007117986679,0.1253189891576767,0.1250915229320526
8,0.1441793590784073,3.0244526863098145,5.316533088684082,5.340315341949463,408.3915544343659,0.03401846066117287,39.25772476196289,30.463443756103516,95.30094909667969,6.555392742156982,37.89739990234375,37.9063835144043,80.29878234863281,34.67464065551758,30.8396053314209,0.41839608550071716,0.44285061955451965,0.14471188187599182,2.9852213859558105,8.957919120788574,8.931781768798828,429.0947731897766,0.04279441386461258,44.14728546142578,33.818904876708984,95.6633529663086,6.618627071380615,37.890865325927734,37.905006408691406,80.48623657226562,34.97501754760742,34.13700485229492,0.9434548616409302,0.888509213924408,0.20562417805194855,0.13092917203903198,0.13462255895137787,0.20052286982536316,0.1254257708787918,0.12514647841453552
9,0.1441315859556198,3.0840351581573486,4.696017742156982,4.7229766845703125,407.12017577686294,0.03220649063587189,39.252254486083984,30.45887565612793,95.30278778076172,6.556702136993408,37.89570236206055,37.9063835144043,80.29548645019531,34.677978515625,30.834613800048828,0.36355793476104736,0.40865689516067505,0.4535641074180603,3.6969432830810547,18.109848022460938,18.077533721923828,452.66953711039866,0.07950255274772644,44.17743682861328,33.839778900146484,95.66040802001953,6.620822906494141,37.8877067565918,37.90498352050781,80.52296447753906,34.968894958496094,34.16046142578125,2.4884097576141357,3.55854868888855,0.2024439126253128,0.14015914499759674,0.157701775431633,0.20046958327293396,0.12547160685062408,0.12513220310211182
